Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw
"2.687 sec",0.02975002,0.2369414,1.195928,0.1031289,2.32609677314758,2.9946448802948,-7.59786081314087,0.9115039,0.03757058,0.0450957
"2.688 sec",0.02977428,0.2369384,1.195928,0.1029222,2.32733821868896,2.9964427947998,-7.59822702407837,0.9116073,0.04386377,0.04510418
"2.689 sec",0.02979845,0.2369354,1.195928,0.1027162,2.32857942581177,2.99824070930481,-7.59858894348145,0.9117103,0.05008392,0.04506307
"2.69 sec",0.02982254,0.2369325,1.195928,0.1025109,2.32982015609741,3.00003838539124,-7.59894752502441,0.9118129,0.0562191,0.04497802
"2.691 sec",0.02984657,0.2369295,1.195928,0.1023062,2.3310604095459,3.00183606147766,-7.59930229187012,0.9119152,0.06225896,0.04485419
"2.692 sec",0.0298705,0.2369265,1.195928,0.1021023,2.33230042457581,3.00363373756409,-7.5996527671814,0.9120172,0.0681946,0.04469629
"2.693 sec",0.02989437,0.2369236,1.195928,0.1018989,2.33353972434998,3.00543117523193,-7.59999990463257,0.9121189,0.07401843,0.04450864
"2.694 sec",0.02991817,0.2369206,1.195928,0.101696,2.33477854728699,3.0072283744812,-7.60034275054932,0.9122204,0.07972404,0.04429515
"2.695 sec",0.02994193,0.2369177,1.195928,0.1014936,2.33601713180542,3.00902533531189,-7.60068225860596,0.9123216,0.08530615,0.04405943
"2.696 sec",0.02996562,0.2369148,1.195928,0.1012918,2.33725500106812,3.01082229614258,-7.60101747512817,0.9124225,0.0907604,0.04380471
"2.697 sec",0.02998925,0.2369118,1.195928,0.1010904,2.33849239349365,3.01261878013611,-7.60134887695312,0.9125232,0.09608337,0.04353395
"2.698 sec",0.03001283,0.2369089,1.195928,0.1008894,2.33972930908203,3.01441502571106,-7.60167646408081,0.9126236,0.1012724,0.04324985
"2.699 sec",0.03003636,0.2369059,1.195928,0.1006889,2.34096550941467,3.01621079444885,-7.60200023651123,0.9127239,0.1063256,0.04295484
"2.7 sec",-0.01294641,-0.1012276,2.776445,-0.08486092,2.34220099449158,3.01800632476807,-7.60232019424438,0.9128239,0.1112416,0.04265112
"2.701 sec",-0.01294601,-0.1012276,2.776445,-0.08485293,2.34343600273132,3.01980137825012,-7.60263872146606,0.9128199,0.1154664,0.04227011
"2.702 sec",-0.01293852,-0.1012286,2.776445,-0.08470476,2.34466934204102,3.02159571647644,-7.60296058654785,0.9127458,0.1185301,0.04175341
"2.703 sec",-0.01293005,-0.1012297,2.776444,-0.08453703,2.34590125083923,3.02338886260986,-7.6032862663269,0.912662,0.1205507,0.04111762
"2.704 sec",-0.01292146,-0.1012308,2.776445,-0.08436716,2.34713172912598,3.02518105506897,-7.60361623764038,0.912577,0.1216366,0.04037805
"2.705 sec",-0.01291291,-0.1012319,2.776445,-0.08419788,2.34836077690125,3.02697229385376,-7.60395002365112,0.9124924,0.1218873,0.03954865
"2.706 sec",-0.0129044,-0.1012329,2.776445,-0.08402944,2.34958815574646,3.02876257896423,-7.60428762435913,0.9124082,0.1213938,0.03864213
